Date,Close,LogReturn,Volatilidad_7d,Volatilidad_14d,Volatilidad_21d,Volatilidad_28d
2018-01-29,11251.0,-0.05439509158249847,0.6905718079347782,1.52204087425396,1.3711323781512588,1.3673434597957317
2018-01-30,10237.51,-0.09439858760924733,1.0053291855777353,1.1432581870685923,1.4101982599553207,1.3515146838588907
2018-01-31,10285.1,0.004637819975389339,0.8954825864094141,1.1423208812360022,1.3959367943968952,1.3487016555091138
2018-02-01,9224.52,-0.10883108990254975,1.1279616443778946,1.2594996762478512,1.3834705988267337,1.3887925420674416
2018-02-02,8873.03,-0.038848817161426664,1.1172983756363668,1.2235540620991783,1.3651299437825837,1.2928561694585805
2018-02-03,9199.96,0.03618279732835513,1.1194060478333083,1.0547499783895542,1.3670256292897196,1.3064464351487355
2018-02-04,8184.81,-0.1169191388606565,1.113842022385704,1.0830503376094776,1.419508944407301,1.3459479137356165
2018-02-05,6939.99,-0.1649796637633145,1.376243010442569,1.2856506244646784,1.5294240392965033,1.4259011580092888
2018-02-06,7652.14,0.0976850136855151,1.7957915118014485,1.4381054114375231,1.3907835191922613,1.495083558884927
2018-02-07,7599.0,-0.006968687593351903,1.7795008821998486,1.3839118169960385,1.3872608156560924,1.481054270682425
2018-02-08,7784.02,0.024056254565828362,1.7398107453977596,1.408985032679452,1.3968980115338674,1.447050158179209
2018-02-09,8683.92,0.10940012537559372,1.9772998497036647,1.5690729071031582,1.4717102650764715,1.5071846351738136
2018-02-10,8533.98,-0.017417198432916687,1.9502535232111107,1.5418378208658823,1.3704895192871351,1.4955055463752271
2018-02-11,8063.88,-0.05666101093024384,1.7928583145044026,1.520766181506993,1.3301481923377962,1.4966801110813992
2018-02-12,8903.0,0.09899346832562467,1.2717849822008864,1.6419483651930435,1.3931552498492425,1.5539076922133115
2018-02-13,8539.9,-0.04163900046148712,1.2557514156111738,1.593244814652237,1.3984261469904444,1.3631997048173201
2018-02-14,9449.99,0.10126438517398621,1.3745837046197014,1.6962559340519041,1.4547463964451621,1.4190870624842555
2018-02-15,10000.09,0.0565804096495126,1.3844122944541248,1.6235549659031334,1.4794454794494662,1.4366353094825046
2018-02-16,10159.98,0.015862380690915282,1.238984466762403,1.6052731960326616,1.4820021108532941,1.4268718516263934
2018-02-17,11039.55,0.08302780550417584,1.2546886256578371,1.6443375400384552,1.5179766069727516,1.4015432077025236
2018-02-18,10383.43,-0.061273012835288285,1.27584575471127,1.5422542611478445,1.529113996249044,1.3684872363850604
2018-02-19,11153.0,0.07149725369905101,1.207003777713471,1.1916536299516831,1.5469874438832327,1.371847869893005
2018-02-20,11200.99,0.00429364723937341,1.0743770464078424,1.1457981475805255,1.4912797087595568,1.3718653240077494
2018-02-21,10437.6,-0.07058749628237194,1.1777699651864253,1.2411666307582296,1.5235803884737449,1.3831741699163338
2018-02-22,9811.04,-0.06190638874009329,1.2281011933927892,1.3139505258163262,1.4737597318267326,1.398904002622861
2018-02-23,10131.04,0.032095696112001824,1.2484740180635874,1.216194561577649,1.466713705607868,1.4050939944707985
